,Y,2019-12-03,478103,"Lgr7 protein, mouse","Lgr7 protein, mouse",P,554145,,478103,"RXFP1 protein, mouse","Lgr7 protein, mouse",T,554145,
,Y,2019-12-03,484175,"Sprm1 protein, mouse","Sprm1 protein, mouse",P,778133,,484175,"Pou5f2 protein, mouse","Sprm1 protein, mouse",T,778133,
,Y,2019-12-03,484729,"Bai3 protein, mouse","Bai3 protein, mouse",P,561696,,484729,"Adgrb3 protein, mouse","Bai3 protein, mouse",T,561696,
,Y,2019-12-03,485607,"Jub protein, mouse","Jub protein, mouse",P,566840,,485607,"ajuba protein, mouse","Jub protein, mouse",T,566840,
,Y,2019-12-03,484261,"Bre protein, mouse","Bre protein, mouse",P,577445,,484261,"Babam2 protein, mouse","Bre protein, mouse",T,577445,
,Y,2019-12-03,484728,"BAI2 protein, mouse","BAI2 protein, mouse",P,561690,,484728,"Adgrb2 protein, mouse","BAI2 protein, mouse",T,561690,
,Y,2019-12-03,601324,MEDI-573,MEDI-573,P,886786,,601324,dusigitumab,MEDI-573,T,886786,
,Y,2019-12-03,575110,"KIAA1377 protein, human","KIAA1377 protein, human",P,830185,,575110,"CEP126 protein, human","KIAA1377 protein, human",T,830185,
,Y,2019-12-03,583570,biphenyl-2-ylcarbamic acid 1-(2-((4-(4-carbamoylpiperidin-1-ylmethyl)benzoyl)methylamino)ethyl)piperidin-4-yl ester,biphenyl-2-ylcarbamic acid 1-(2-((4-(4-carbamoylpiperidin-1-ylmethyl)benzoyl)methylamino)ethyl)piperidin-4-yl ester,P,849500,,583570,revefenacin,biphenyl-2-ylcarbamic acid 1-(2-((4-(4-carbamoylpiperidin-1-ylmethyl)benzoyl)methylamino)ethyl)piperidin-4-yl ester,T,849500,
,Y,2019-12-03,460839,"MT201 antibody, human",adecatumumab,T,682699,,460839,adecatumumab,adecatumumab,P,682699,
,Y,2019-12-03,614160,DS-8201a,DS-8201a,P,915692,,614160,trastuzumab deruxtecan,DS-8201a,T,915692,
,Y,2019-12-03,581980,BMS-936564,BMS-936564,P,846362,,581980,ulocuplumab,BMS-936564,T,846362,
,Y,2019-12-03,437063,TMA-15 monoclonal antibody,TMA-15 monoclonal antibody,P,794511,,437063,urtoxazumab,TMA-15 monoclonal antibody,T,794511,
,Y,2019-12-03,627085,"Gm853 protein, mouse","Gm853 protein, mouse",P,943271,,627085,"Ldc1 protein, mouse","Gm853 protein, mouse",T,943271,
,Y,2019-12-03,578283,"TMEM5 protein, human","TMEM5 protein, human",P,837334,,578283,"RXYLT1 protein, human","TMEM5 protein, human",T,837334,
,Y,2019-12-03,627216,"GARIL5 protein, mouse","GARIL5 protein, mouse",P,943789,,627216,"Fam71e1 protein, mouse","GARIL5 protein, mouse",T,943789,
,Y,2019-12-03,627487,"AI481877 protein, mouse","AI481877 protein, mouse",P,944517,,627487,"Shoc1 protein, mouse","AI481877 protein, mouse",T,944517,
,Y,2019-12-03,628726,"Rsg1 protein, mouse","Rsg1 protein, mouse",P,948108,,628726,"Cplane2 protein, mouse","Rsg1 protein, mouse",T,948108,
,Y,2019-12-03,629007,"Rtfc protein, mouse","Rtfc protein, mouse",P,948795,,629007,"4931414P19Rik protein, mouse","Rtfc protein, mouse",T,948795,
,Y,2019-12-03,629576,"TMEM20 protein, mouse","TMEM20 protein, mouse",P,950710,,629576,"Slc35g1 protein, mouse","TMEM20 protein, mouse",T,950710,
,Y,2019-12-03,629605,"Sws1 protein, mouse","Sws1 protein, mouse",P,950852,,629605,"Zswim7 protein, mouse","Sws1 protein, mouse",T,950852,
,Y,2019-12-03,619694,"LJM716 monoclonal antibody, human","LJM716 monoclonal antibody, human",P,925893,,619694,elgemtumab,"LJM716 monoclonal antibody, human",T,925893,
,Y,2019-12-03,621819,BAY 1187982,BAY 1187982,P,929906,,621819,aprutumab ixadotin,BAY 1187982,T,929906,
,Y,2019-12-03,81678,IMMU-4 monoclonal antibody,IMMU-4 monoclonal antibody,P,794487,,81678,arcitumomab,IMMU-4 monoclonal antibody,T,794487,
,Y,2019-12-03,556019,"KIAA1731 protein, human","KIAA1731 protein, human",P,785956,,556019,"CEP295 protein, human","KIAA1731 protein, human",T,785956,
,Y,2019-12-03,520097,"TMEM30C protein, human","TMEM30C protein, human",P,699179,,520097,"TMEM30CP protein, human","TMEM30C protein, human",T,699179,
,Y,2019-12-03,510249,"TMEM48 protein, human","TMEM48 protein, human",P,699924,,510249,"NDC1 protein, human","TMEM48 protein, human",T,699924,
,Y,2019-12-03,557414,anti-IGF-1R antibody A12,cixutumumab,T,822069,,557414,cixutumumab,cixutumumab,P,822069,
,Y,2019-12-03,569646,SAR 3419,coltuximab ravtansine,T,926412,,569646,coltuximab ravtansine,coltuximab ravtansine,P,926412,
,Y,2019-12-03,574488,monoclonal antibody 2021,concizumab,T,871710,,574488,concizumab,concizumab,P,871710,
,Y,2019-12-03,601829,REGN1193,REGN1193,P,887555,,601829,crotedumab,REGN1193,T,887555,
,Y,2019-12-03,550337,AME 133,ocaratuzumab,T,879066,,550337,ocaratuzumab,ocaratuzumab,P,879066,
,Y,2019-12-03,597368,PF-00547659,PF-00547659,P,878932,,597368,ontamalimab,PF-00547659,T,878932,
,Y,2019-12-03,604563,MORAb-004,ontuxizumab,T,950057,,604563,ontuxizumab,ontuxizumab,P,950057,
,Y,2019-12-03,570591,tanibirumab,tanibirumab,P,819268,,570591,olinvacimab,tanibirumab,T,819268,
,Y,2019-12-03,619415,GDC-0853,GDC-0853,P,925369,,619415,fenebrutinib,GDC-0853,T,925369,
,Y,2019-12-03,624282,MM-302,MM-302,P,935251,,624282,gancotamab,MM-302,T,935251,
,Y,2019-12-03,574067,MNRP1685A,MNRP1685A,P,827372,,574067,vesencumab,MNRP1685A,T,827372,
,Y,2019-12-03,573866,MFGR1877A,MFGR1877A,P,826875,,573866,vofatamab,MFGR1877A,T,826875,
,Y,2019-12-03,629677,REMD-477,REMD-477,P,951112,,629677,volagidemab,REMD-477,T,951112,
,Y,2019-12-03,622746,MCLA-128,MCLA-128,P,932081,,622746,zenocutuzumab,MCLA-128,T,932081,
,Y,2019-12-03,585662,claudiximab,claudiximab,P,939043,,585662,zolbetuximab,claudiximab,T,939043,
,Y,2019-12-03,109509,"Bhlhb3 protein, rat","Bhlhb3 protein, rat",P,642990,,109509,"Bhlhe41 protein, rat","Bhlhb3 protein, rat",T,642990,
,Y,2019-12-03,524403,"Timeless protein, Xenopus","Tim1 protein, Xenopus",T,709871,,524403,"Tim1 protein, Xenopus","Tim1 protein, Xenopus",P,709871,
,Y,2019-12-03,575087,PF-03446962,PF-03446962,P,830087,,575087,ascrinvacumab,PF-03446962,T,830087,
,Y,2019-12-03,631691,GSK2857916,GSK2857916,P,961039,,631691,belantamab mafodotin,GSK2857916,T,961039,
,Y,2019-12-03,604877,xilonix,xilonix,P,895117,,604877,bermekimab,xilonix,T,895117,
,Y,2019-12-03,493668,"Tcfap2a protein, mouse","Tcfap2a protein, mouse",P,621912,,493668,"Tfap2a protein, mouse","Tcfap2a protein, mouse",T,621912,
,Y,2019-12-03,585471,U3-1287,patritumab,T,888183,,585471,patritumab,patritumab,P,888183,
,Y,2019-12-03,594804,MEDI-575,MEDI-575,P,874338,,594804,Tovetumab,MEDI-575,T,874338,
,Y,2019-12-03,599789,LY2875358,LY2875358,P,884154,,599789,emibetuzumab,LY2875358,T,884154,
,Y,2019-12-03,542276,MEDI-528,MEDI-528,P,755264,,542276,enokizumab,MEDI-528,T,755264,
,Y,2019-12-03,600154,REGN421,enoticumab,T,884742,,600154,enoticumab,enoticumab,P,884742,
,Y,2019-12-03,493669,"Tcfap2b protein, mouse","Tcfap2b protein, mouse",P,621917,,493669,"Tfap2b protein, mouse","Tcfap2b protein, mouse",T,621917,
,Y,2019-12-03,493671,"Tcfap2d protein, mouse","Tcfap2d protein, mouse",P,621928,,493671,"Tfap2d protein, mouse","Tcfap2d protein, mouse",T,621928,
,Y,2019-12-03,493672,"Tcfap2e protein, mouse","Tcfap2e protein, mouse",P,621930,,493672,"Tfap2e protein, mouse","Tcfap2e protein, mouse",T,621930,
,Y,2019-12-03,581257,KRN330,KRN330,P,844758,,581257,KRN-330,KRN330,T,844758,
,Y,2019-12-03,547393,AS 1402,AS 1402,P,766399,,547393,epitumomab,AS 1402,T,766399,
,Y,2019-12-03,559198,rhuMAb Beta7,etrolizumab,T,864880,,559198,etrolizumab,etrolizumab,P,864880,
,Y,2019-12-03,420063,PRO-140 monoclonal antibody,PRO-140 monoclonal antibody,P,871019,,420063,leronlimab,PRO-140 monoclonal antibody,T,871019,
,Y,2019-12-03,533572,"Ubxd1 protein, human","UBXN6 protein, human",T,892316,,533572,"UBXN6 protein, human","UBXN6 protein, human",P,892316,
,Y,2019-12-03,626824,MHAB5553A,MHAB5553A,P,942352,,626824,lesofavumab,MHAB5553A,T,942352,
,Y,2019-12-03,561435,LDE225,sonidegib,T,867318,,561435,sonidegib,sonidegib,P,867318,
,Y,2019-12-03,600718,MEDI4893,MEDI4893,P,885678,,600718,suvratoxumab,MEDI4893,T,885678,
,Y,2019-12-03,613469,MOR208 monoclonal antibody,MOR208 monoclonal antibody,P,914189,,613469,tafasitamab,MOR208 monoclonal antibody,T,914189,
,Y,2019-12-03,118917,"KRT1-17 protein, mouse","KRT1-17 protein, mouse",P,334615,,118917,"Krt17 protein, mouse","KRT1-17 protein, mouse",T,334615,
,Y,2019-12-03,118918,"KRT1-c29 protein, mouse","KRT1-c29 protein, mouse",P,334617,,118918,"Krt27 protein, mouse","KRT1-c29 protein, mouse",T,334617,
,Y,2019-12-03,119538,"Ccl27 protein, mouse","Ccl27 protein, mouse",P,593639,,119538,"Ccl27a protein, mouse","Ccl27 protein, mouse",T,593639,
,Y,2019-12-03,119621,"Nkcl protein, mouse","Nkcl protein, mouse",P,715707,,119621,"Clec4n protein, mouse","Nkcl protein, mouse",T,715707,
,Y,2019-12-03,121822,"Prosc protein, mouse","Prosc protein, mouse",P,557409,,121822,"Plpbp protein, mouse","Prosc protein, mouse",T,557409,
,Y,2019-12-03,122171,"Crsp2 protein, mouse","Crsp2 protein, mouse",P,373764,,122171,"Med14 protein, mouse","Crsp2 protein, mouse",T,373764,
,Y,2019-12-03,402391,"Dnahc11 protein, mouse","Dnahc11 protein, mouse",P,404173,,402391,"Dnah11 protein, mouse","Dnahc11 protein, mouse",T,404173,
,Y,2019-12-03,402392,"Hdgfrp3 protein, mouse","Hdgfrp3 protein, mouse",P,509625,,402392,"Hdgfl3 protein, mouse","Hdgfrp3 protein, mouse",T,509625,
,Y,2019-12-03,408695,"Cyp3a41 protein, mouse","Cyp3a41 protein, mouse",P,655600,,408695,"Cyp3a41a protein, mouse","Cyp3a41 protein, mouse",T,655600,
,Y,2019-12-03,523998,"UTX protein, human","UTX protein, human",P,709007,,523998,"KDM6A protein, human","UTX protein, human",T,709007,
,Y,2019-12-03,493743,"EMD 273063 antibody, human","EMD 273063 antibody, human",P,622454,,493743,lorukafusp alfa,"EMD 273063 antibody, human",T,622454,
,Y,2019-12-03,597969,RG7116,lumretuzumab,T,911159,,597969,lumretuzumab,lumretuzumab,P,911159,
,Y,2019-12-03,629291,Hu5F9-G4,Hu5F9-G4,P,949706,,629291,magrolimab,Hu5F9-G4,T,949706,
,Y,2019-12-03,569397,"TMEM20 protein, human","TMEM20 protein, human",P,816285,,569397,"SLC35G1 protein, human","TMEM20 protein, human",T,816285,
,Y,2019-12-03,606498,"3110043O21Rik protein, mouse","3110043O21Rik protein, mouse",P,898551,,606498,"C9orf72 protein, mouse","3110043O21Rik protein, mouse",T,898551,
,Y,2019-12-03,549567,MK-1775,MK-1775,P,771836,,549567,adavosertib,MK-1775,T,771836,
,Y,2019-12-03,586200,PM060184,PM060184,P,854771,,586200,plocabulin,PM060184,T,854771,
,Y,2019-12-03,621040,KAR5585,KAR5585,P,928273,,621040,rodatristat,KAR5585,T,928273,
,Y,2019-12-03,625557,MIN-101,MIN-101,P,937907,,625557,roluperidone,MIN-101,T,937907,
,Y,2019-12-03,609646,NEOD001,NEOD001,P,905142,,609646,birtamimab,NEOD001,T,905142,
,Y,2019-12-03,550938,6'-(hydroxylethyl)-1-(haba)-sisomicin,6'-(hydroxylethyl)-1-(haba)-sisomicin,P,774740,,550938,plazomicin,6'-(hydroxylethyl)-1-(haba)-sisomicin,T,774740,
,R,2019-12-03,490659,"Jarid1d protein, mouse",0,,,,490659,"Jarid1d protein, mouse",EC 1.14.11.-,,,
,Y,2019-12-03,571179,7-fluoro-9-pyrrolidinoacetamido-6-demethyl-6-deoxytetracycline,7-fluoro-9-pyrrolidinoacetamido-6-demethyl-6-deoxytetracycline,P,820487,,571179,eravacycline,7-fluoro-9-pyrrolidinoacetamido-6-demethyl-6-deoxytetracycline,T,820487,
,Y,2019-12-03,502203,"Fam101b protein, mouse","Fam101b protein, mouse",P,869134,,502203,"Rflnb protein, mouse","Fam101b protein, mouse",T,869134,
,Y,2019-12-03,533238,1-(3-chloro-5-((4-(4-chloro-2-thienyl)-5-(4-cyclohexylpiperazin-1-yl)thiazol-2-yl)carbamoyl)-2-pyridyl)piperidine-4-carboxylic acid,avatrombopag,T,865753,,533238,avatrombopag,avatrombopag,P,865753,
,Y,2019-12-03,597310,ZS-9 compound,ZS-9 compound,P,878836,,597310,sodium zirconium cyclosilicate,ZS-9 compound,T,878836,
,Y,2019-12-03,603944,AR-13324,AR-13324,P,892995,,603944,netarsudil,AR-13324,T,892995,
,Y,2019-12-03,605269,AG-221,AG-221,P,895948,,605269,enasidenib,AG-221,T,895948,
,Y,2019-12-03,562573,Cyclopia,Cyclopia,P,800962,,562573,cyclopia sequence,Cyclopia,T,800962,
,Y,2019-12-03,578996,"Rds protein, mouse","Rds protein, mouse",P,587636,,578996,"Prph2 protein, mouse","Rds protein, mouse",T,587636,
,Y,2019-12-03,579005,"Prph1 protein, mouse","Prph1 protein, mouse",P,587632,,579005,"Prph protein, mouse","Prph1 protein, mouse",T,587632,
,Y,2019-12-03,579055,"prkcb1 protein, mouse","prkcb1 protein, mouse",P,844276,,579055,"Prkcb protein, mouse","prkcb1 protein, mouse",T,844276,
,Y,2019-12-03,525726,PF 00299804,PF 00299804,P,712809,,525726,dacomitinib,PF 00299804,T,712809,
,Y,2019-12-03,575659,"Gm5893 predicted protein, mouse","Gm5893 predicted protein, mouse",P,868777,,575659,"Gm5893 protein, mouse","Gm5893 predicted protein, mouse",T,868777,
,Y,2019-12-03,578391,"MB21D1 protein, mouse","MB21D1 protein, mouse",P,855285,,578391,"cGAS protein, mouse","MB21D1 protein, mouse",T,855285,
,Y,2019-12-03,579599,"Hamp1 protein, mouse","Hamp1 protein, mouse",P,653264,,579599,"Hamp protein, mouse","Hamp1 protein, mouse",T,653264,
,Y,2019-12-03,583261,"Drd1a protein, mouse","Drd1a protein, mouse",P,848808,,583261,"Drd1 protein, mouse","Drd1a protein, mouse",T,848808,
,Y,2019-12-03,585516,"Dm15 protein, mouse","Dm15 protein, mouse",P,580950,,585516,"DMPK protein, mouse","Dm15 protein, mouse",T,580950,
,Y,2019-12-03,586107,"CCDC67 protein, mouse","CCDC67 protein, mouse",P,854496,,586107,"Deup1 protein, mouse","CCDC67 protein, mouse",T,854496,
,Y,2019-12-03,487932,N-(4-(3-chloro-4-(2-pyridinylmethoxy)anilino)-3-cyano-7-ethoxy-6-quinolyl)-4-(dimethylamino)-2-butenamide,N-(4-(3-chloro-4-(2-pyridinylmethoxy)anilino)-3-cyano-7-ethoxy-6-quinolyl)-4-(dimethylamino)-2-butenamide,P,635056,,487932,neratinib,N-(4-(3-chloro-4-(2-pyridinylmethoxy)anilino)-3-cyano-7-ethoxy-6-quinolyl)-4-(dimethylamino)-2-butenamide,T,635056,
,Y,2019-12-03,609083,ARRY-470,ARRY-470,P,904098,,609083,larotrectinib,ARRY-470,T,904098,
,Y,2019-12-03,595155,MM-141,MM-141,P,875052,,595155,Istiratumab,MM-141,T,875052,
,Y,2019-12-03,583569,AMG-416,AMG-416,P,849497,,583569,etelcalcetide hydrochloride,AMG-416,T,849497,
,Y,2019-12-03,513399,dotatate gallium ga-68,dotatate gallium ga-68,P,908724,,513399,gallium Ga 68 dotatate,dotatate gallium ga-68,T,908724,
,Y,2019-12-03,549068,LCZ 696,LCZ 696,P,770621,,549068,sacubitril-valsartan,LCZ 696,T,770621,
,Y,2019-12-03,586503,"N-ras protein, mouse","N-ras protein, mouse",P,881150,,586503,"Nras protein, mouse","N-ras protein, mouse",T,881150,
,Y,2019-12-03,588245,"Ccdc 172 protein, mouse","Ccdc 172 protein, mouse",P,859435,,588245,"Ccdc172 protein, mouse","Ccdc 172 protein, mouse",T,859435,
,Y,2019-12-03,623146,"C9orf116 protein, rat","C9orf116 protein, rat",P,932889,,623146,"RGD1306233 protein, rat","C9orf116 protein, rat",T,932889,
,Y,2019-12-03,606071,"calpain 1 protein, rat","calpain 1 protein, rat",P,897537,,606071,"Capn1 protein, rat","calpain 1 protein, rat",T,897537,
,Y,2019-12-03,608603,"caprin-2 protein, rat","caprin-2 protein, rat",P,903312,,608603,"Caprin2 protein, rat","caprin-2 protein, rat",T,903312,
,Y,2019-12-03,23339,"asialoglycoprotein-binding protein, rat","asialoglycoprotein-binding protein, rat",P,110516,,23339,"Clec10a protein, rat","asialoglycoprotein-binding protein, rat",T,110516,
,Y,2019-12-03,93561,"Adam6 protein, rat","Adam6 protein, rat",P,276730,,93561,"Adam6a protein, rat","Adam6 protein, rat",T,276730,
,Y,2019-12-03,602621,"ADAR2 protein, rat","ADAR2 protein, rat",P,890351,,602621,"Adarb1 protein, rat","ADAR2 protein, rat",T,890351,
,Y,2019-12-03,496569,"Adrbk1 protein, rat","Adrbk1 protein, rat",P,607986,,496569,"Grk2 protein, rat","Adrbk1 protein, rat",T,607986,
,Y,2019-12-03,517851,"Adrbk2 protein, rat","Adrbk2 protein, rat",P,607990,,517851,"Grk3 protein, rat","Adrbk2 protein, rat",T,607990,
,Y,2019-12-03,512718,"Afaf protein, rat","Afaf protein, rat",P,680135,,512718,"Eqtn protein, rat","Afaf protein, rat",T,680135,
,Y,2019-12-03,626590,anti-5T4 antibody-monomethylauristatin conjugate,anti-5T4 antibody-monomethylauristatin conjugate,P,941351,,626590,PF-06263507,anti-5T4 antibody-monomethylauristatin conjugate,T,941351,
,Y,2019-12-03,508378,"Accn3 protein, mouse","ASIC3 protein, mouse",T,667645,,508378,"ASIC3 protein, mouse","ASIC3 protein, mouse",P,667645,
,Y,2019-12-03,509190,"Mcpt6 protein, mouse","Mcpt6 protein, mouse",P,634668,,509190,"Tpsb2 protein, mouse","Mcpt6 protein, mouse",T,634668,
,Y,2019-12-03,515183,"nonagouti protein, mouse","nonagouti protein, mouse",P,793914,,515183,"a protein, mouse","nonagouti protein, mouse",T,793914,
,Y,2019-12-03,528412,"Dia1 protein, rat","Cyb5R3 protein, rat",T,880845,,528412,"Cyb5R3 protein, rat","Cyb5R3 protein, rat",P,880845,
,Y,2019-12-03,509289,"Chi3l1 protein, mouse","Chi3l1 protein, mouse",P,670814,,509289,"Chil1 protein, mouse","Chi3l1 protein, mouse",T,670814,
,Y,2019-12-03,512668,"Ush3a protein, mouse","Ush3a protein, mouse",P,646035,,512668,"Clrn1 protein, mouse","Ush3a protein, mouse",T,646035,
,Y,2019-12-03,511409,"Sec5l1 protein, mouse","Sec5l1 protein, mouse",P,644537,,511409,"Exoc2 protein, mouse","Sec5l1 protein, mouse",T,644537,
,Y,2019-12-03,511597,"Psp protein, mouse","Psp protein, mouse",P,658350,,511597,"Bpifa2 protein, mouse","Psp protein, mouse",T,658350,
,Y,2019-12-03,512747,"Gscl protein, mouse","Gscl protein, mouse",P,561866,,512747,"Gsc2 protein, mouse","Gscl protein, mouse",T,561866,
,Y,2019-12-03,512901,"Nol1 protein, mouse","Nol1 protein, mouse",P,659333,,512901,"Nop2 protein, mouse","Nol1 protein, mouse",T,659333,
,Y,2019-12-03,513032,"Dmc1h protein, mouse","Dmc1h protein, mouse",P,550692,,513032,"Dmc1 protein, mouse","Dmc1h protein, mouse",T,550692,
,Y,2019-12-03,513041,"Grlf1 protein, mouse","Grlf1 protein, mouse",P,660118,,513041,"Arhgap35 protein, mouse","Grlf1 protein, mouse",T,660118,
,Y,2019-12-03,517850,"Adrbk2 protein, mouse","Adrbk2 protein, mouse",P,606913,,517850,"GRK3 protein, mouse","Adrbk2 protein, mouse",T,606913,
,Y,2019-12-03,517853,"Gprk2l protein, mouse","Gprk2l protein, mouse",P,693333,,517853,"GRK4 protein, mouse","Gprk2l protein, mouse",T,693333,
,Y,2019-12-03,517895,"Gprk5 protein, mouse","Gprk5 protein, mouse",P,693452,,517895,"Grk5 protein, mouse","Gprk5 protein, mouse",T,693452,
,Y,2019-12-03,527026,"Ncr3 protein, mouse","Ncr3 protein, mouse",P,715636,,527026,"Ncr3-ps protein, mouse","Ncr3 protein, mouse",T,715636,
,R,2019-12-03,485687,"Trim2 protein, mouse",0,,,,485687,"Trim2 protein, mouse",EC 2.3.2.27,,,
,Y,2019-12-03,520306,"Sh3md4 protein, mouse","Sh3md4 protein, mouse",P,699704,,520306,"Sh3rf3 protein, mouse","Sh3md4 protein, mouse",T,699704,
,Y,2019-12-03,521225,"Fam65a protein, mouse","Fam65a protein, mouse",P,862003,,521225,"Ripor1 protein, mouse","Fam65a protein, mouse",T,862003,
,Y,2019-12-03,425068,"Mfi2 protein, mouse","Mfi2 protein, mouse",P,564499,,425068,"Meltf protein, mouse","Mfi2 protein, mouse",T,564499,
,Y,2019-12-03,527074,"Epb4.1l5 protein, mouse","Epb4.1l5 protein, mouse",P,715771,,527074,"EPB41L5 protein, mouse","Epb4.1l5 protein, mouse",T,715771,
,Y,2019-12-03,527300,"Ars2 protein, mouse","Ars2 protein, mouse",P,716266,,527300,"Srrt protein, mouse","Ars2 protein, mouse",T,716266,
,Y,2019-12-03,442281,"D17Wsu104e protein, mouse","D17Wsu104e protein, mouse",P,583677,,442281,"Mydgf protein, mouse","D17Wsu104e protein, mouse",T,583677,
,Y,2019-12-03,497423,"Mll protein, mouse","Mll protein, mouse",P,613861,,497423,"Kmt2a protein, mouse","Mll protein, mouse",T,613861,
,Y,2019-12-03,497716,"Ear5 protein, mouse","Ear5 protein, mouse",P,650841,,497716,"Rnase2b protein, mouse","Ear5 protein, mouse",T,650841,
,Y,2019-12-03,498007,"O3far1 protein, mouse","O3far1 protein, mouse",P,799895,,498007,"FFAR4 protein, mouse","O3far1 protein, mouse",T,799895,
,Y,2019-12-03,498365,"Tmem24 protein, mouse","Tmem24 protein, mouse",P,634818,,498365,"C2cd2l protein, mouse","Tmem24 protein, mouse",T,634818,
,Y,2019-12-03,501463,"Csta protein, mouse","Csta protein, mouse",P,642224,,501463,"Csta1 protein, mouse","Csta protein, mouse",T,642224,
,Y,2019-12-03,501500,"Rbmy1a1 protein, mouse","Rbmy1a1 protein, mouse",P,643319,,501500,"Rbmy protein, mouse","Rbmy1a1 protein, mouse",T,643319,
,Y,2019-12-03,583063,AGS-1C4D4,AGS-1C4D4,P,848480,,583063,MK-4721,AGS-1C4D4,T,848480,
,Y,2019-12-03,501590,"Tm7sf4 protein, mouse","Tm7sf4 protein, mouse",P,644442,,501590,"Dcstamp protein, mouse","Tm7sf4 protein, mouse",T,644442,
,Y,2019-12-03,501852,"Cdc2l1 protein, mouse","Cdc2l1 protein, mouse",P,645268,,501852,"Cdk11b protein, mouse","Cdc2l1 protein, mouse",T,645268,
,Y,2019-12-03,503633,"Hnrpc protein, mouse","Hnrpc protein, mouse",P,651142,,503633,"Hnrnpc protein, mouse","Hnrpc protein, mouse",T,651142,
,Y,2019-12-03,503641,"Trfr2 protein, mouse","Trfr2 protein, mouse",P,651182,,503641,"TFR2 protein, mouse","Trfr2 protein, mouse",T,651182,
,Y,2019-12-03,504412,"Dspg3 protein, mouse","Dspg3 protein, mouse",P,654846,,504412,"Epyc protein, mouse","Dspg3 protein, mouse",T,654846,
,Y,2019-12-03,504414,"Hfe2 protein, mouse","Hfe2 protein, mouse",P,654854,,504414,"HJV protein, mouse","Hfe2 protein, mouse",T,654854,
,Y,2019-12-03,504076,"Aof2 protein, mouse","Aof2 protein, mouse",P,731323,,504076,"KDM1a protein, mouse","Aof2 protein, mouse",T,731323,
,Y,2019-12-03,504800,"Lrrc16a protein, mouse","Lrrc16a protein, mouse",P,867003,,504800,"Carmil1 protein, mouse","Lrrc16a protein, mouse",T,867003,
,Y,2019-12-03,505772,"Tnfsf7 protein, mouse","Tnfsf7 protein, mouse",P,660709,,505772,"Cd70 protein, mouse","Tnfsf7 protein, mouse",T,660709,
,Y,2019-12-03,506124,"crinkled protein, mouse","crinkled protein, mouse",P,507578,,506124,"Edaradd protein, mouse","crinkled protein, mouse",T,507578,
,Y,2019-12-03,507407,"Gyltl1b protein, mouse","Gyltl1b protein, mouse",P,665250,,507407,"Large2 protein, mouse","Gyltl1b protein, mouse",T,665250,
,Y,2019-12-03,507427,"Krt1-13 protein, mouse","Krt1-13 protein, mouse",P,665308,,507427,"Krt13 protein, mouse","Krt1-13 protein, mouse",T,665308,
,Y,2019-12-03,507446,"Krt1-14 protein, mouse","Krt1-14 protein, mouse",P,665368,,507446,"Krt14 protein, mouse","Krt1-14 protein, mouse",T,665368,
,Y,2019-12-03,507463,"Col82 protein, mouse","Col82 protein, mouse",P,727750,,507463,"Col8a2 protein, mouse","Col82 protein, mouse",T,727750,
,Y,2019-12-03,507491,"Krt1-10 protein, mouse","Krt1-10 protein, mouse",P,647504,,507491,"Krt10 protein, mouse","Krt1-10 protein, mouse",T,647504,
,Y,2019-12-03,490633,"Cd97 protein, mouse","Cd97 protein, mouse",P,604948,,490633,"Adgre5 protein, mouse","Cd97 protein, mouse",T,604948,
,Y,2019-12-03,519282,"Phlpp protein, mouse","PHLPP1 protein, mouse",T,767083,,519282,"PHLPP1 protein, mouse","PHLPP1 protein, mouse",P,767083,
,Y,2019-12-03,528435,"Ppm1l, protein, mouse","Ppm1l, protein, mouse",P,728190,,528435,"Ppm1l protein, mouse","Ppm1l, protein, mouse",T,728190,
,Y,2019-12-03,530032,"B3gnt1 protein, mouse","B3gnt1 protein, mouse",P,800171,,530032,"B4gat1 protein, mouse","B3gnt1 protein, mouse",T,800171,
,Y,2019-12-03,530657,"Gsg2 protein, mouse","Gsg2 protein, mouse",P,706581,,530657,"Haspin protein, mouse","Gsg2 protein, mouse",T,706581,
,Y,2019-12-03,530747,"Lphn1 protein, mouse","Lphn1 protein, mouse",P,756105,,530747,"Adgrl1 protein, mouse","Lphn1 protein, mouse",T,756105,
,Y,2019-12-03,474810,"Zfp191 protein, mouse","Zfp191 protein, mouse",P,615801,,474810,"Zfp24 protein, mouse","Zfp191 protein, mouse",T,615801,
,Y,2019-12-03,490074,"Tmem57 protein, mouse","Tmem57 protein, mouse",P,865468,,490074,"Maco1 protein, mouse","Tmem57 protein, mouse",T,865468,
,Y,2019-12-03,490288,"Gbp1 protein, mouse","Gbp1 protein, mouse",P,598432,,490288,"Gbp2b protein, mouse","Gbp1 protein, mouse",T,598432,
,Y,2019-12-03,490378,"Pgea1 protein, mouse","Pgea1 protein, mouse",P,610413,,490378,"Cby1 protein, mouse","Pgea1 protein, mouse",T,610413,
,Y,2019-12-03,490547,"Mtap1a protein, mouse","Mtap1a protein, mouse",P,605483,,490547,"MAP1A protein, mouse","Mtap1a protein, mouse",T,605483,
,Y,2019-12-03,484550,"Acatn protein, rat","Acatn protein, rat",P,585492,,484550,"Slc33a1 protein, rat","Acatn protein, rat",T,585492,
,Y,2019-12-03,490714,"Hist1h1e protein, mouse","Hist1h1e protein, mouse",P,653232,,490714,"H1f4 protein, mouse","Hist1h1e protein, mouse",T,653232,
